ID,crime id,month,reported by,falls within,longitude,latitude,location,lsoa code,lsoa name,crime type,last outcome category,type,date,part of a policing operation,policing operation,gender,age range,self-defined ethnicity,officer-defined ethnicity,legislation,object of search,outcome,outcome linked to object of search,removal of more than just outer clothing,all ages,13,14,15,16,17,18,19,20,25,30,35,40,45,50,60,70,80,90+
43,,2017-01,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
44,,2017-03,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
45,,2017-04,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
46,,2017-05,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
47,,2017-06,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
48,,2017-07,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
49,,2017-08,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
50,,2017-09,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
51,,2017-10,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
52,,2017-11,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
53,,2017-12,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
54,,2018-01,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
55,,2018-03,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
56,,2018-04,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
57,,2018-05,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
58,,2018-06,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
59,,2018-07,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
60,,2018-08,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
61,,2018-09,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
62,,2018-10,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
63,,2018-11,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
64,,2018-12,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
65,,2017-01,Greater Manchester Police,Greater Manchester Police,-2.341732,53.483341,On or near Church Street,E01005599,Salford 026A,Anti-social behaviour,,Person search,2017-04-06T14:50:00+00:00,False,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,Nothing found - no further action,,False,1636,12,11,10,15,19,23,23,14,28,27,32,26,23,26,19,17,7,8
